n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
44,9,Money Between People,Five,You need to ask your parents for help.,Asking family for money,"Mum, Dad,||I need to ask you for some help and I have been dreading writing this, which is why it is a letter.||The position is this: I am eleven hundred short on the deposit and the offer is conditional on completing by the eighth. I have exhausted the other options, including the ones you would ask me about.||What I am asking for is a loan of eleven hundred, which I would pay back at two hundred a month starting in April. I would like it to be a loan and I would like us to write down the terms, because I do not want it to become a thing that is never mentioned and always there.||If the answer is no, that is genuinely all right and I will not ask again.||I love you both.||Murtaza","Insisting on terms. Family money curdles because it is given without paperwork and then carries an unspoken interest rate paid in obligation for a decade. Asking for it to be documented is what protects the relationship, and it also signals seriousness in a way that no amount of gratitude does. Pre-empting *have you tried* saves a round of correspondence."
45,9,Money Between People,Five,Somebody always pays less than their share and nobody says anything.,The unequal arrangement,"Priya,||Slightly uncomfortable subject, and I would rather raise it than get quietly annoyed about it, which is where I am heading.||With the house bills, I have been covering the internet and the standing charges as well as my half of everything else, and it has drifted into being the arrangement rather than a favour. It is about sixty a month.||I do not think this was deliberate at all. It is the sort of thing that just happens.||Could we redo the split from March, and I am happy to do the spreadsheet? And if there is a reason the current arrangement suits you that I do not know about, tell me and we will work something out.||Ade","Giving the other person an innocent explanation and an exit. *I do not think this was deliberate* is offered before any defence is needed, which prevents the conversation becoming about character. The offer to do the administrative work is what makes the change happen, and the closing question leaves room for a real reason to exist."
46,10,Money With Institutions,Five,An invoice is six weeks overdue.,The freelancer's chase,"Dear Accounts,||Invoice 2041, dated 3 January, for £2,400, is now 42 days overdue. Payment terms were 14 days.||Could you confirm the payment date? If there is a problem with the invoice, tell me what it is and I will correct it today.||For reference: the work was signed off by Sarah Miles on 20 December and the purchase order number is PO-88213.||If I have not had a payment date by Friday the 21st, I will invoke the Late Payment of Commercial Debts Act, which entitles me to statutory interest and a fixed recovery charge. I would much rather not and I do not expect it to be necessary.||With thanks,||Murtaza Raza","Every fact the accounts department needs to act, in one place: invoice number, date, amount, days overdue, sign-off, purchase order. Most chasers omit at least two of these and the reply is a request for them, which costs another week. The statutory reference is stated as a step you will take rather than as a threat, and *I would much rather not* is what keeps it from souring."
47,10,Money With Institutions,Five,Something you bought is faulty and you want your money back.,The complaint that works,"Dear Sir or Madam,||Order 55-2093, placed 14 February. The dishwasher was delivered on the 22nd and has not completed a cycle without stopping.||Under the Consumer Rights Act 2015 I am within the thirty days for a full refund of £429, which is what I am requesting.||An engineer attended on 3 March, reference ENG-4471, and confirmed the fault is with the pump. I have the report.||Please confirm the refund and arrange collection. If it is easier for you to replace rather than refund, I am open to that provided it is delivered within seven days.||I look forward to hearing from you.||Murtaza Raza","Naming the legislation and the specific right, which moves the letter out of the discretionary pile and into the compliance pile. Offering the replacement as an alternative is the part people leave out. Give the organisation a cheaper way to satisfy you and the odds of a fast answer go up. You lose nothing by allowing it."
48,10,Money With Institutions,Five,You cannot pay a bill and it is going to get worse.,Telling a creditor before they chase,"Dear Sir or Madam,||Account 40028811. I am writing before the next payment is due rather than after it, because I am not going to be able to make it.||My circumstances changed in January when I was made redundant. I have applied for benefits and I have a start date for new work in April.||What I am proposing: £40 a month for the next three months instead of £210, and a return to the full amount from May, with the arrears added at £30 a month from June.||I would rather agree something now than default. I can provide evidence of the redundancy and the new contract.||I am contactable on the number on the account any weekday.||Murtaza Raza","Arriving first. Creditors treat a proactive proposal as a different kind of file from a missed payment, because it moves the file out of collections and into arrangements. The proposal is specific, includes a return to normal, and deals with the arrears. That last part is the one people omit, and it decides whether the offer is accepted."
49,10,Money With Institutions,Five,There is a charge on your bill you did not agree to.,Disputing a charge,"Dear Sir or Madam,||Account 7712-0043. The March bill includes a charge of £89.99 described as ""Service Activation"". I did not request this service and I have no record of agreeing to it.||I am disputing the charge and asking for it to be removed and refunded.||I have checked my correspondence back to December and there is no confirmation email of the kind you send when a service is added. If you hold a recording or a record of my consent, please send it to me.||I have paid the remainder of the bill in full so that the account is not in arrears while this is resolved.||Please confirm within fourteen days.||Murtaza Raza","Paying the undisputed part. It removes their strongest lever, which is treating you as a defaulter. It also shows good faith, and that makes the dispute easier to concede. Asking them to produce the evidence of consent puts the burden where it belongs, and it is the sentence that ends it."
50,10,Money With Institutions,Five,You have complained twice and been fobbed off twice.,Escalating properly,"Dear Sir or Madam,||Complaint reference CMP-90211, first raised 4 February, now seven weeks old.||I am asking for a deadlock letter or a final response so that I can refer this to the Ombudsman.||The history: I reported the fault on 4 February. I was told on the 19th that an engineer would attend within five working days; none did. On 12 March I was told the case had been closed, which nobody had informed me of. It was reopened on my call the same day.||I am not asking for anything beyond the original request, which was the repair and a refund of the two months of service charges, £58.||If a final response is not issued within eight weeks of the original complaint I will refer the matter regardless, as I am entitled to do.||Murtaza Raza","Asking for the deadlock letter. It signals that you know the regulatory process, and organisations behave differently towards a complainant who knows what it is. The dated chronology is the other half. The ombudsman will want it, and the company knows somebody outside the building will read it."
51,11,Praise and Thanks,Six,Somebody did something significant for you and you said thanks in passing.,The real thank you,"Dear Ruth,||I said thank you at the time and it was not adequate, so this is the proper version.||When I was falling apart in the autumn you did three things that I have thought about since. You moved the deadline without making me ask for it. You told me, in the corridor, that the work was still good, at a point when I had stopped believing that. And you never once mentioned it afterwards, which mattered more than either of the others.||I do not think you will remember any of this as anything much. It kept me in the job.||Thank you.||Murtaza","Three named actions, one of which the recipient may not have thought of as a decision at all. Naming the omission, the not mentioning it afterwards, is the strongest move available in a thank you. Restraint is invisible by design. Nobody is ever thanked for it. The last line does the other job: it says what it caused."
52,11,Praise and Thanks,Six,A colleague did excellent work and their manager does not know.,Praise where it counts,"Dear Adam,||I wanted to tell you about something Priya did last week, which I suspect she will not mention herself.||The Fenwick handover was in real trouble. She rebuilt the reconciliation from scratch over two days, found an error in our figures that had been there since November, and told the client about it before they found it themselves. That last part cost her a difficult conversation she could have avoided entirely.||I have worked with a lot of people who would have quietly fixed it and said nothing. She did the harder and better thing.||I thought you should know, from someone outside her team.||Murtaza","Writing to the manager instead of to her, and saying why: *from someone outside her team* is what gives it evidential weight. It also singles out the choice that involved a cost, which is the thing managers most struggle to see and most value hearing about. This letter changes somebody's career and takes six minutes."
53,11,Praise and Thanks,Six,A stranger's work changed something for you.,The unsolicited letter,"Dear Ms Adeyemi,||You will not know me. I read your book on the Windrush cases in 2023, when I was about to give up on a case of my own.||There is a passage near the end about how the evidence was reconstructed after the records were destroyed. I read it four times. It gave me an approach I had not thought of, and eighteen months later the case was decided in my client's favour.||I am not asking for anything. I have wanted to write this for two years and kept not doing it, and it seemed foolish to carry on not doing it.||Thank you for the book.||With respect,||Murtaza Raza","Asking for nothing, and saying so. Writers, artists and academics get a great deal of post that turns out to be a request in the fourth paragraph. A letter that closes off that possibility can be enjoyed instead of assessed. The specific passage is what proves the reading was real, and the outcome is what makes the letter worth having received."
54,11,Praise and Thanks,Six,Somebody you are quietly jealous of has had good news.,Congratulating properly anyway,"Sam,||Congratulations on the book. Genuinely, and I will admit that it took me a couple of days to be able to write this without it being through gritted teeth, which says everything about me and nothing about you.||You have wanted this since we were twenty-three and you did the work in a way I did not. I have watched you get up at five for four years and I have not, and the outcome is exactly correct.||Very well done. I mean it.||Ade","Admitting the envy, with a light hand, and without making it the recipient's problem. The alternative, which is a warm letter with a detectable coolness underneath, is worse, because everybody can feel it and nobody can name it. Owning it disarms it and produces something more affectionate than an unmixed congratulation would have been."
55,11,Praise and Thanks,Six,You are writing a reference for somebody you rate.,The recommendation that helps,"Dear Ms Chen,||I am glad to be asked about Priya Nair and I will be more useful if I am specific rather than general.||She led the Fenwick migration for eighteen months. Two things are worth knowing. She is the only person I have managed who consistently brought me problems while they were still cheap to fix, including problems she had caused, which is rarer than it sounds and is the single quality I would most look for.||And she is a good manager of people who are struggling. Two members of her team were in difficulty during that period and both are still with us and doing well, which was her work.||Her weakness, since you will want one: she is slow to delegate and takes on more than she should. She knows this and has been working on it.||I would hire her again without hesitation.||Murtaza Raza","The named weakness. A reference with no weakness in it reads as a formality and gets discounted. One honest, minor, self-known limitation makes everything else credible. The two strengths are behavioural and specific instead of adjectival, which is the difference between a reference that is read and one that is skimmed."
56,12,Letters With No Purpose,Six,Nothing has happened. You simply thought about somebody on a Tuesday.,The letter with no occasion,"Dear Nan,||No news, no reason. I was making tea in a mug you gave me about nine years ago, which is now chipped at the handle and is still the one I reach for first, and I thought I would write and tell you that.||Work is fine. The flat is cold. I have started running, badly, on Sunday mornings, and I keep thinking about you saying that the first mile is rent and the rest is yours.||That is genuinely all. You do not have to write back, though I would love it if you did, and I am not building up to asking you for anything.||I think about you a lot. I hope you are warm.||Love, Ruth","The chipped mug. Anyone can write *thinking of you*, and it evaporates on contact, because it is a sentiment with no evidence attached. An object, a chip on the handle, a habit you have kept for nine years: these prove the thought was real and located somewhere in an actual afternoon. The second move is the disclaimer near the end, which sounds throwaway and is not. Older relatives in particular have learned that an unexpected letter can precede a request, and saying outright that nothing is coming lets the letter be what it is."
57,12,Letters With No Purpose,Six,"A teacher, a boss, an aunt. Somebody who changed the direction of your life and has never been told.",The letter you owe a living person,"Dear Mr Okonjo,||You taught me GCSE physics between 2003 and 2005, in the lab at the end of the science corridor, and I doubt you remember me. I sat at the back and I was not a good student.||I am writing because I want to tell you something while it is still possible to tell you.||In the spring of the second year you kept me back after a lesson and said that I was lazy rather than stupid, and that the difference was entirely in my hands and nobody else's. You were not kind about it. It was the first time an adult had told me the truth about myself in a way I could not argue with.||I am an engineer. I have been one for fourteen years. I do not think that happens without that conversation, and I have never told you, which seemed increasingly ridiculous the longer it went on.||Thank you. I hope the corridor is still standing.||With real gratitude, Daniel Achebe","The precision. Naming the years, the room, the season and the actual sentence spoken converts a vague tribute into a piece of evidence the reader can check against their own memory, and that is what makes it land rather than embarrass. Note also that the letter does not soften what was said. Reporting the moment as it was, including the fact that it was not kind, is what makes the gratitude credible. And the reason for writing is stated in one line without decoration: while it is still possible."
58,12,Letters With No Purpose,Six,"A friendship ended in nothing. No row, no falling out, just years.",The letter after a long drift,"Dear Priya,||It has been about six years, I think, which is absurd.||Nothing happened, is the thing. We did not fall out. You moved, I had the twins, we each let three or four messages go unanswered at a busy time, and then enough time passed that writing started to feel like an event, and I kept not doing it.||I am writing now because I heard a song in the car that we both liked in a year I would rather not name out loud, and I sat in the car park until it finished.||I do not know what you want from this, and there may be nothing. If you would rather leave it where it is, that is genuinely all right and I will not chase.||But I miss you, and I did not want another six years to go by with nobody having said so.||Priya, I hope life has been good. Meera","Naming the absence of a cause. A long silence between friends acquires, in both heads, an imagined reason, and the fear that a letter will excavate it is what keeps people quiet for decades. Saying outright that nothing happened dissolves the thing that was never there. The other necessary move is the exit offered near the end. A letter that reopens a friendship by force is a demand, and it is much easier to answer one that has already told you it will accept a no."
59,12,Letters With No Purpose,Six,You want to leave something for your children to read when you are no longer here.,The letter for afterwards,"To Sam and Isabel, to be read afterwards,||If you are reading this then the thing we all knew would happen eventually has happened, and I am sorry, and I am also fine about it, and both of those are true at once.||I want you to know three things.||The first is that I was happy. Not always, and not evenly, but on the whole and by a wide margin, and most of that was the two of you and your mother. If you find yourself worrying that I did not know that at the time, I did. I knew it constantly.||The second is that you are not obliged to grieve in any particular way, or for any particular length of time, or to agree with each other about how it is done. Look after each other through it and forgive whatever gets said in the first fortnight.||The third is about the house and the boat and all of it, and it is this: it is only money and objects, and I would rather you had a bad year and stayed close than divided everything correctly and did not speak again. If it comes to a choice, choose each other. That is an instruction.||Go and have a good life. It goes quickly and it is worth it.||All my love, always, Dad","The permission. Almost everything a letter like this can do is release the reader from an obligation they will otherwise carry: to have made you happy enough, to grieve properly, to honour your memory by falling out over an estate. Listing three things and numbering them is not a stylistic tic either. A letter read in the worst week of somebody's life needs to be navigable, and structure survives distress in a way that flowing prose does not."
60,12,Letters With No Purpose,Six,"You are furious with somebody who cannot hear it, or who is dead, or with whom the conversation would cost more than it is worth.",The letter with no recipient,"Dad,||I am not going to send this and you are not going to read it, and I have decided that does not make it pointless.||You were not there. Not in the large way people mean when they say it about fathers, but in a hundred small verifiable ways: the Tuesday nights, the two years of Saturdays, the concert with the empty seat that I could see from the stage. I have carried a version of you in my head that I have been arguing with for twenty years, and the arguing has been going about as well as it went in life.||Here is what I actually wanted. I wanted you to be interested. Not proud, particularly. Interested.||I am forty-one. You have been dead for three. I am not going to get it, and I have spent a considerable amount of my one life waiting to be given a thing by somebody who did not have it to give.||So this is me putting it down. Not forgiving you, because I am not sure I do, and I am tired of being told that is the required destination. Just putting it down.||Goodbye.||Nathan","The absence of a reader. Every other letter in this book is shaped by what it will do to the person who opens it, and that constraint, useful everywhere else, is what prevents this from being said at all. Removing the recipient removes the negotiation. Notice too that it refuses the expected ending. An unsent letter that arrives on cue at forgiveness is performing, and the honest version stops at the true place, which here is setting the thing down. That is a real outcome and it is enough."
